B,L,D,C1 Load,R1 Resistance,C2 Load,R2 Resistance,Volume,Price
0.82,0.86,4,595.56564,658.9511593,463.8264,486.7982567,0.3526,40549
0.83,0.85,3.8,591.78915,628.2822389,461.029,464.0924564,0.35275,40566.25
0.83,0.85,3.85,592.741575,636.6012884,461.7345,470.236206,0.35275,40566.25
0.83,0.85,3.9,593.694,644.9203379,462.44,476.3799557,0.35275,40566.25
0.83,0.85,3.95,594.646425,653.2393875,463.1455,482.5237053,0.35275,40566.25
0.83,0.85,4,595.59885,661.558437,463.851,488.667455,0.35275,40566.25
0.84,0.84,3.8,591.79968,630.6340721,461.0368,465.7745086,0.3528,40572
0.84,0.84,3.85,592.75224,638.9842797,461.7424,471.9405426,0.3528,40572
0.84,0.84,3.9,593.7048,647.3344872,462.448,478.1065766,0.3528,40572
0.84,0.84,3.95,594.65736,655.6846947,463.1536,484.2726105,0.3528,40572
0.72,0.98,3.95,594.65736,629.1566341,463.1536,465.3239958,0.3528,40572
0.84,0.84,4,595.60992,664.0349023,463.8592,490.4386445,0.3528,40572
0.72,0.98,4,595.60992,637.1688148,463.8592,471.248582,0.3528,40572
0.76,0.93,3.9,593.8344,630.3597959,462.544,466.00854,0.3534,40641
0.76,0.93,3.95,594.78858,638.4909082,463.2508,472.0184201,0.3534,40641
0.76,0.93,4,595.74276,646.6220205,463.9576,478.0283003,0.3534,40641
0.73,0.97,3.95,594.930735,633.1802967,463.3561,468.2544691,0.35405,40715.75
0.73,0.97,4,595.88667,641.2437312,464.0642,474.2163795,0.35405,40715.75
0.77,0.92,3.85,593.05086,625.5695747,461.9636,462.4202105,0.3542,40733
0.77,0.92,3.9,594.0072,633.7443598,462.672,468.4617427,0.3542,40733
0.77,0.92,3.95,594.96354,641.9191448,463.3804,474.5032749,0.3542,40733
0.77,0.92,4,595.91988,650.0939299,464.0888,480.544807,0.3542,40733
0.78,0.91,3.85,593.20017,628.7845871,462.0742,464.7474479,0.3549,40813.5
0.78,0.91,3.9,594.1584,637.0014004,462.784,470.8194003,0.3549,40813.5
0.78,0.91,3.95,595.11663,645.2182136,463.4938,476.8913526,0.3549,40813.5
0.78,0.91,4,596.07486,653.4350269,464.2036,482.9633049,0.3549,40813.5
0.71,1,3.95,595.1385,630.595399,463.51,466.4509993,0.355,40825
0.71,1,4,596.097,638.6258835,464.22,472.3899168,0.355,40825
0.74,0.96,3.9,594.2232,628.9617476,462.832,465.0901626,0.3552,40848
0.74,0.96,3.95,595.18224,637.0747915,463.5424,471.0881654,0.3552,40848
0.74,0.96,4,596.14128,645.1878354,464.2528,477.0861681,0.3552,40848
0.79,0.9,3.85,593.32815,631.8737208,462.169,466.980372,0.3555,40882.5
0.79,0.9,3.9,594.288,640.1309177,462.88,473.0815127,0.3555,40882.5
0.79,0.9,3.95,595.24785,648.3881147,463.591,479.1826534,0.3555,40882.5
0.79,0.9,4,596.2077,656.6453116,464.302,485.283794,0.3555,40882.5
0.8,0.89,3.8,592.4736,626.5410398,461.536,462.9898856,0.356,40940
0.8,0.89,3.85,593.4348,634.8369758,462.248,469.1189827,0.356,40940
0.8,0.89,3.9,594.396,643.1329119,462.96,475.2480799,0.356,40940
0.8,0.89,3.95,595.3572,651.428848,463.672,481.3771771,0.356,40940
0.8,0.89,4,596.3184,659.724784,464.384,487.5062743,0.356,40940
0.75,0.95,3.9,594.45,632.6791099,463,467.7922214,0.35625,40968.75
0.75,0.95,3.95,595.411875,640.8401185,463.7125,473.8250847,0.35625,40968.75
0.75,0.95,4,596.37375,649.0011272,464.425,479.857948,0.35625,40968.75
0.81,0.88,3.8,592.55784,629.3413216,461.5984,465.0074583,0.3564,40986
0.81,0.88,3.85,593.52012,637.6743522,462.3112,471.1632802,0.3564,40986
0.81,0.88,3.9,594.4824,646.0073828,463.024,477.319102,0.3564,40986
0.72,0.99,3.9,594.4824,626.7425984,463.024,463.5585417,0.3564,40986
0.81,0.88,3.95,595.44468,654.3404134,463.7368,483.4749239,0.3564,40986
0.72,0.99,3.95,595.44468,634.8269842,463.7368,469.5367602,0.3564,40986
0.81,0.88,4,596.40696,662.6734441,464.4496,489.6307458,0.3564,40986
0.72,0.99,4,596.40696,642.9113701,464.4496,475.5149786,0.3564,40986
0.82,0.87,3.8,592.62102,632.0173694,461.6452,466.9319495,0.3567,41020.5
0.82,0.87,3.85,593.58411,640.38585,462.3586,473.1132643,0.3567,41020.5
0.82,0.87,3.9,594.5472,648.7543306,463.072,479.294579,0.3567,41020.5
0.82,0.87,3.95,595.51029,657.1228112,463.7854,485.4758937,0.3567,41020.5
0.82,0.87,4,596.47338,665.4912918,464.4988,491.6572084,0.3567,41020.5
0.83,0.86,3.8,592.66314,634.569183,461.6764,468.7633593,0.3569,41043.5
0.83,0.86,3.85,593.62677,642.971469,462.3902,474.968935,0.3569,41043.5
0.83,0.86,3.9,594.5904,651.373755,463.104,481.1745107,0.3569,41043.5
0.83,0.86,3.95,595.55403,659.7760411,463.8178,487.3800865,0.3569,41043.5
0.83,0.86,4,596.51766,668.1783271,464.5316,493.5856622,0.3569,41043.5
0.84,0.85,3.8,592.6842,636.9967625,461.692,470.5016875,0.357,41055
0.84,0.85,3.85,593.6481,645.4312094,462.406,476.7302924,0.357,41055
0.84,0.85,3.9,594.612,653.8656563,463.12,482.9588974,0.357,41055
0.84,0.85,3.95,595.5759,662.3001032,463.834,489.1875023,0.357,41055
0.84,0.85,4,596.5398,670.7345501,464.548,495.4161072,0.357,41055
0.76,0.94,3.85,593.69076,628.0616201,462.4376,464.332243,0.3572,41078
0.76,0.94,3.9,594.6552,636.268949,463.152,470.398735,0.3572,41078
0.76,0.94,3.95,595.61964,644.4762778,463.8664,476.465227,0.3572,41078
0.76,0.94,4,596.58408,652.6836066,464.5808,482.531719,0.3572,41078
0.73,0.98,3.9,594.7632,630.7927591,463.232,466.5094565,0.3577,41135.5
0.73,0.98,3.95,595.72899,638.9294017,463.9474,472.5257441,0.3577,41135.5
0.73,0.98,4,596.69478,647.0660442,464.6628,478.5420316,0.3577,41135.5
0.77,0.93,3.85,593.872065,631.4792603,462.5719,466.8108145,0.35805,41175.75
0.77,0.93,3.9,594.8388,639.7312648,463.288,472.9097034,0.35805,41175.75
0.77,0.93,3.95,595.805535,647.9832693,464.0041,479.0085923,0.35805,41175.75
0.77,0.93,4,596.77227,656.2352737,464.7202,485.1074812,0.35805,41175.75
0.78,0.92,3.8,593.06328,626.4759863,461.9728,463.0650188,0.3588,41262
0.78,0.92,3.85,594.03204,634.7710219,462.6904,469.1950728,0.3588,41262
0.78,0.92,3.9,595.0008,643.0660574,463.408,475.3251267,0.3588,41262
0.78,0.92,3.95,595.96956,651.3610929,464.1256,481.4551807,0.3588,41262
0.78,0.92,4,596.93832,659.6561285,464.8432,487.5852346,0.3588,41262
0.74,0.97,3.85,594.05337,626.5281419,462.7062,463.3117013,0.3589,41273.5
0.74,0.97,3.9,595.0224,634.7153966,463.424,469.3648262,0.3589,41273.5
0.74,0.97,3.95,595.99143,642.9026514,464.1418,475.417951,0.3589,41273.5
0.74,0.97,4,596.96046,651.0899061,464.8596,481.4710758,0.3589,41273.5
0.79,0.91,3.8,593.20017,629.6004827,462.0742,465.3250305,0.35945,41336.75
0.79,0.91,3.85,594.170685,637.9369047,462.7931,471.4850177,0.35945,41336.75
0.79,0.91,3.9,595.1412,646.2733268,463.512,477.6450049,0.35945,41336.75
0.79,0.91,3.95,596.111715,654.6097489,464.2309,483.804992,0.35945,41336.75
0.79,0.91,4,597.08223,662.9461709,464.9498,489.9649792,0.35945,41336.75
0.8,0.9,3.8,593.316,632.6007449,462.16,467.4919607,0.36,41400
0.8,0.9,3.85,594.288,640.976909,462.88,473.6806493,0.36,41400
0.75,0.96,3.85,594.288,630.2742886,462.88,466.0359204,0.36,41400
0.8,0.9,3.9,595.26,649.353073,463.6,479.8693378,0.36,41400
0.75,0.96,3.9,595.26,638.5105109,463.6,472.1246506,0.36,41400
0.72,1,3.9,595.26,632.3407433,463.6,467.7176738,0.36,41400
0.8,0.9,3.95,596.232,657.729237,464.32,486.0580264,0.36,41400
0.75,0.96,3.95,596.232,646.7467332,464.32,478.2133809,0.36,41400
0.72,1,3.95,596.232,640.4973343,464.32,473.7495245,0.36,41400
0.8,0.9,4,597.204,666.105401,465.04,492.246715,0.36,41400
0.75,0.96,4,597.204,654.9829556,465.04,484.3021111,0.36,41400
0.72,1,4,597.204,648.6539254,465.04,479.7813753,0.36,41400
0.81,0.89,3.8,593.41077,635.4767731,462.2302,469.5658093,0.36045,41451.75
0.81,0.89,3.85,594.383985,643.8910345,462.9511,475.7819675,0.36045,41451.75
0.81,0.89,3.9,595.3572,652.3052959,463.672,481.9981257,0.36045,41451.75
0.81,0.89,3.95,596.330415,660.7195573,464.3929,488.2142838,0.36045,41451.75
0.81,0.89,4,597.30363,669.1338188,465.1138,494.430442,0.36045,41451.75
0.82,0.88,3.8,593.48448,638.2285671,462.2848,471.5465765,0.3608,41492
0.82,0.88,3.85,594.45864,646.6792814,463.0064,477.7889724,0.3608,41492
0.82,0.88,3.9,595.4328,655.1299956,463.728,484.0313683,0.3608,41492
0.82,0.88,3.95,596.40696,663.5807099,464.4496,490.2737642,0.3608,41492
0.82,0.88,4,597.38112,672.0314242,465.1712,496.5161601,0.3608,41492
0.76,0.95,3.8,593.5266,625.6110112,462.316,462.5427223,0.361,41515
0.76,0.95,3.85,594.5013,633.8945566,463.038,468.6658261,0.361,41515
0.76,0.95,3.9,595.476,642.178102,463.76,474.78893,0.361,41515
0.76,0.95,3.95,596.4507,650.4616474,464.482,480.9120338,0.361,41515
0.76,0.95,4,597.4254,658.7451928,465.204,487.0351377,0.361,41515
0.83,0.87,3.8,593.53713,640.8561271,462.3238,473.4342622,0.36105,41520.75
0.83,0.87,3.85,594.511965,649.3416496,463.0459,479.701664,0.36105,41520.75
0.83,0.87,3.9,595.4868,657.8271722,463.768,485.9690658,0.36105,41520.75
0.83,0.87,3.95,596.461635,666.3126947,464.4901,492.2364676,0.36105,41520.75
0.83,0.87,4,597.43647,674.7982172,465.2122,498.5038695,0.36105,41520.75
0.84,0.86,3.8,593.56872,643.3594529,462.3472,475.2288664,0.3612,41538
0.84,0.86,3.85,594.54396,651.8781392,463.0696,481.5200423,0.3612,41538
0.84,0.86,3.9,595.5192,660.3968254,463.792,487.8112182,0.3612,41538
0.84,0.86,3.95,596.49444,668.9155117,464.5144,494.1023941,0.3612,41538
0.84,0.86,4,597.46968,677.434198,465.2368,500.39357,0.3612,41538
