B,L,D,C1 Load,R1 Resistance,C2 Load,R2 Resistance,Volume,Price
0.39,0.47,3.95,532.7184825,923.2965922,415.02,445.7412833,0.09165,10539.75
0.39,0.47,4,532.84221,930.9533557,415.02,449.4467698,0.09165,10539.75
0.36,0.51,3.85,532.49553,865.8825826,415.02,420.1891405,0.0918,10557
0.36,0.51,3.9,532.61946,873.1825902,415.02,423.7407878,0.0918,10557
0.36,0.51,3.95,532.74339,880.4825978,415.02,427.2924352,0.0918,10557
0.36,0.51,4,532.86732,887.7826053,415.02,430.8440826,0.0918,10557
0.34,0.54,4,532.86732,860.1792593,415.02,418.9044727,0.0918,10557
0.4,0.46,3.8,532.404,917.660745,415.02,442.2973469,0.092,10580
0.4,0.46,3.85,532.5282,925.4655618,415.02,446.068431,0.092,10580
0.4,0.46,3.9,532.6524,933.2703786,415.02,449.8395151,0.092,10580
0.4,0.46,3.95,532.7766,941.0751954,415.02,453.6105992,0.092,10580
0.4,0.46,4,532.9008,948.8800122,415.02,457.3816833,0.092,10580
0.41,0.45,3.8,532.4445,934.6835396,415.02,449.786778,0.09225,10608.75
0.41,0.45,3.85,532.5690375,942.633996,415.02,453.6219889,0.09225,10608.75
0.41,0.45,3.9,532.693575,950.5844523,415.02,457.4571999,0.09225,10608.75
0.41,0.45,3.95,532.8181125,958.5349087,415.02,461.2924108,0.09225,10608.75
0.41,0.45,4,532.94265,966.485365,415.02,465.1276218,0.09225,10608.75
0.42,0.44,3.8,532.4688,951.3929216,415.02,457.0924213,0.0924,10626
0.42,0.44,3.85,532.59354,959.4866038,415.02,460.9902884,0.0924,10626
0.42,0.44,3.9,532.71828,967.580286,415.02,464.8881554,0.0924,10626
0.42,0.44,3.95,532.84302,975.6739682,415.02,468.7860224,0.0924,10626
0.42,0.44,4,532.96776,983.7676504,415.02,472.6838894,0.0924,10626
0.43,0.43,3.8,532.4769,967.7871269,415.02,464.2135813,0.09245,10631.75
0.43,0.43,3.85,532.6017075,976.0216213,415.02,468.1726336,0.09245,10631.75
0.43,0.43,3.9,532.726515,984.2561156,415.02,472.131686,0.09245,10631.75
0.43,0.43,3.95,532.8513225,992.49061,415.02,476.0907384,0.09245,10631.75
0.43,0.43,4,532.97613,1000.725104,415.02,480.0497907,0.09245,10631.75
0.37,0.5,3.8,532.485,877.1861892,415.02,425.0284697,0.0925,10637.5
0.37,0.5,3.85,532.609875,884.6443213,415.02,428.6515651,0.0925,10637.5
0.37,0.5,3.9,532.73475,892.1024534,415.02,432.2746606,0.0925,10637.5
0.37,0.5,3.95,532.859625,899.5605855,415.02,435.8977561,0.0925,10637.5
0.37,0.5,4,532.9845,907.0187176,415.02,439.5208516,0.0925,10637.5
0.35,0.53,3.85,532.6507125,858.6808474,415.02,417.5441167,0.09275,10666.25
0.35,0.53,3.9,532.775925,865.9193726,415.02,421.073185,0.09275,10666.25
0.35,0.53,3.95,532.9011375,873.1578978,415.02,424.6022533,0.09275,10666.25
0.35,0.53,4,533.02635,880.396423,415.02,428.1313216,0.09275,10666.25
0.38,0.49,3.8,532.5822,895.4838985,415.02,433.2386194,0.0931,10706.5
0.38,0.49,3.85,532.707885,903.0977414,415.02,436.9316922,0.0931,10706.5
0.38,0.49,3.9,532.83357,910.7115844,415.02,440.624765,0.0931,10706.5
0.38,0.49,3.95,532.959255,918.3254273,415.02,444.3178378,0.0931,10706.5
0.38,0.49,4,533.08494,925.9392702,415.02,448.0109107,0.0931,10706.5
0.34,0.55,3.9,532.89945,857.6498237,415.02,417.8714638,0.0935,10752.5
0.34,0.55,3.95,533.025675,864.8187925,415.02,421.3736058,0.0935,10752.5
0.34,0.55,4,533.1519,871.9877613,415.02,424.8757477,0.0935,10752.5
0.39,0.48,3.8,532.6632,913.473939,415.02,441.2672466,0.0936,10764
0.36,0.52,3.8,532.6632,870.6944327,415.02,422.7593286,0.0936,10764
